100% Bran,70,4,1,130,10,5,6,68.402973
100% Natural Bran,120,3,5,15,2,8,8,33.983679
All-Bran,70,4,1,260,9,7,5,59.425505
All-Bran with Extra Fiber,50,4,0,140,14,8,0,93.704912
Almond Delight,110,2,2,200,1,14,8,34.384843
Apple Cinnamon Cheerios,110,2,2,180,1.5,10.5,10,29.509541
Apple Jacks,110,2,0,125,1,11,14,33.174094
Basic 4,130,3,2,210,2,18,8,37.038562
Bran Chex,90,2,1,200,4,15,6,49.120253
Bran Flakes,90,3,0,210,5,13,5,53.313813
Cap'n'Crunch,120,1,2,220,0,12,12,18.042851
Cheerios,110,6,2,290,2,17,1,50.764999
Cinnamon Toast Crunch,120,1,3,210,0,13,9,19.823573
Clusters,110,3,2,140,2,13,7,40.400208
Cocoa Puffs,110,1,1,180,0,12,13,22.736446
Corn Chex,110,2,0,280,0,22,3,41.445019
Corn Flakes,100,2,0,290,1,21,2,45.863324
Corn Pops,110,1,0,90,1,13,12,35.782791
Count Chocula,110,1,1,180,0,12,13,22.396513
Cracklin' Oat Bran,110,3,3,140,4,10,7,40.448772
Cream of Wheat (Quick),100,3,0,80,1,21,0,64.533816
Crispix,110,2,0,220,1,21,3,46.895644
Crispy Wheat & Raisins,100,2,1,140,2,11,10,36.176196
Double Chex,100,2,0,190,1,18,5,44.330856
Froot Loops,110,2,1,125,1,11,13,32.207582
Frosted Flakes,110,1,0,200,1,14,11,31.435973
Frosted Mini-Wheats,100,3,0,0,3,14,7,58.345141
Fruit & Fibre Dates Walnuts and Oats,120,3,2,160,5,12,10,40.917047
Fruitful Bran,120,3,0,240,5,14,12,41.015492
Fruity Pebbles,110,1,1,135,0,13,12,28.025765
Golden Crisp,100,2,0,45,0,11,15,35.252444
Golden Grahams,110,1,1,280,0,15,9,23.804043
Grape Nuts Flakes,100,3,1,140,3,15,5,52.076897
Grape-Nuts,110,3,0,170,3,17,3,53.371007
Great Grains Pecan,120,3,3,75,3,13,4,45.811716
Honey Graham Ohs,120,1,2,220,1,12,11,21.871292
Honey Nut Cheerios,110,3,1,250,1.5,11.5,10,31.072217
Honey-comb,110,1,0,180,0,14,11,28.742414
Just Right Crunchy  Nuggets,110,2,1,170,1,17,6,36.523683
Just Right Fruit & Nut,140,3,1,170,2,20,9,36.471512
Kix,110,2,1,260,0,21,3,39.241114
Life,100,4,2,150,2,12,6,45.328074
Lucky Charms,110,2,1,180,0,12,12,26.734515
Maypo,100,4,1,0,0,16,3,54.850917
Muesli Raisins; Dates; & Almonds,150,4,3,95,3,16,11,37.136863
Muesli Raisins; Peaches; & Pecans,150,4,3,150,3,16,11,34.139765
Mueslix Crispy Blend,160,3,2,150,3,17,13,30.313351
Multi-Grain Cheerios,100,2,1,220,2,15,6,40.105965
Nut&Honey Crunch,120,2,1,190,0,15,9,29.924285
Nutri-Grain Almond-Raisin,140,3,2,220,3,21,7,40.69232
Nutri-grain Wheat,90,3,0,170,3,18,2,59.642837
Oatmeal Raisin Crisp,130,3,2,170,1.5,13.5,10,30.450843
Post Nat. Raisin Bran,120,3,1,200,6,11,14,37.840594
Product 19,100,3,0,320,1,20,3,41.50354
Puffed Rice,50,1,0,0,0,13,0,60.756112
Puffed Wheat,50,2,0,0,1,10,0,63.005645
Quaker Oat Squares,100,4,1,135,2,14,6,49.511874
Quaker Oatmeal,100,5,2,0,2.7,-1,-1,50.828392
Raisin Bran,120,3,1,210,5,14,12,39.259197
Raisin Nut Bran,100,3,2,140,2.5,10.5,8,39.7034
Raisin Squares,90,2,0,0,2,15,6,55.333142
Rice Chex,110,1,0,240,0,23,2,41.998933
Rice Krispies,110,2,0,290,0,22,3,40.560159
Shredded Wheat,80,2,0,0,3,16,0,68.235885
Shredded Wheat 'n'Bran,90,3,0,0,4,19,0,74.472949
Shredded Wheat spoon size,90,3,0,0,3,20,0,72.801787
Smacks,110,2,1,70,1,9,15,31.230054
Special K,110,6,0,230,1,16,3,53.131324
Strawberry Fruit Wheats,90,2,0,15,3,15,5,59.363993
Total Corn Flakes,110,2,1,200,0,21,3,38.839746
Total Raisin Bran,140,3,1,190,4,15,14,28.592785
Total Whole Grain,100,3,1,200,3,16,3,46.658844
Triples,110,2,1,250,0,21,3,39.106174
Trix,110,1,1,140,0,13,12,27.753301
Wheat Chex,100,3,1,230,3,17,3,49.787445
Wheaties,100,3,1,200,3,17,3,51.592193
Wheaties Honey Gold,110,2,1,200,1,16,8,36.187559
